Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1					156.697777		21.573829			3457.382875										8.620544					5.591894	0.000000									-3.244832	0.117651			0.000000	1.740238					0.000000	3.437118																			-1.748536	0.000000									-1.119173	0.000000	0.000000	0.000000	
 2					159.889693		19.112931			3453.417398										10.372241					6.709082	0.000000									-3.270315	0.047060			0.000000	2.283130					0.000000	3.755960																			-1.751696	0.000000									-1.119173	0.000000	0.000000	0.000000	
 3					163.112994		16.473440			3449.335365										12.124990					7.825874	0.000000									-3.278810	0.023530			0.000000	2.482000					0.000000	3.872756																			-1.752750	0.000000									-1.119173	0.000000	0.000000	0.000000	
 4					165.983381		13.425474			3445.000907										13.866153					8.942269	0.000000									-3.185371	0.282362			0.000000	2.912226					0.000000	4.125428																			-1.741163	0.000000									-1.119173	0.000000	0.000000	0.000000	
 5					168.212704		10.263492			3440.585001										15.586249					10.058268	0.000000									-3.015484	0.752965			0.000000	3.051355					0.000000	4.207139																			-1.720096	0.000000									-1.119173	0.000000	0.000000	0.000000	
 6					168.904404		7.212781			3436.219409										17.255784					11.173870	0.000000									-2.607754	1.882411			0.000000	2.966140					0.000000	4.157092																			-1.669535	0.000000									-1.119173	0.000000	0.000000	0.000000	
 7					167.194133		4.489068			3432.031365										18.846318					11.173870	0.000000									-1.970677	3.647167			0.000000	2.664280					0.000000	3.979810																			-1.590534	0.000000									-0.003967	0.000000	0.000000	0.000000	
 8					166.124700		3.317434			3428.741932										18.846318					9.257904	0.000000									-2.140566	3.176560			0.000000	1.134644					0.000000	3.081452																			0.000000	0.000000									0.000000	1.912000	0.000000	0.000000	
 9					165.375716		3.709679			3426.365497										18.846318					7.455722	0.000000									-2.225507	2.941267			-0.419580	0.000000					0.000000	2.168653																			0.000000	0.000000									0.000000	1.798895	0.000000	0.000000	
 10					164.146502		4.789502			3424.394920										18.846318					5.774862	0.000000									-2.098088	3.294227			-1.110391	0.000000					0.000000	1.762939																			0.000000	0.000000									0.000000	1.678213	0.000000	0.000000	
 11					162.277066		6.181936			3422.613285										18.846318					4.401987	0.000000									-1.928206	3.764813			-1.431900	0.000000					0.000000	1.574117																			0.000000	0.000000									0.000000	1.370825	0.000000	0.000000	
 12					159.895596		8.155753			3421.179944										18.376262					2.754376	0.000000									-1.792292	4.141307			-2.024756	0.000000					0.000000	1.225931																			0.000000	0.470055									0.000000	1.646048	0.000000	0.000000	
 13					158.027010		11.231379			3420.403335										15.956950					5.290015	0.000000									-1.928206	3.764813			-3.142830	0.000000					0.000000	0.569285																			0.000000	2.419312									-2.536617	0.000000	0.000000	0.000000	
 14					156.094740		15.606604			3420.404915										13.535249					7.370431	0.000000									-1.911215	3.811880			-4.467771	0.000000					-0.208856	0.000000																			0.000000	2.421701									-2.082293	0.000000	0.000000	0.000000	
 15					153.266967		20.594423			3420.787445										11.089663					5.341882	0.000000									-1.485933	4.282487			-5.116418	0.000000					-0.589807	0.000000																			0.000000	2.445587									0.000000	2.025932	0.000000	0.000000	
 16					149.480950		24.939499			3420.816605										8.634522					3.314053	0.000000									-0.715370	4.470733			-4.514773	0.000000					-0.236460	0.000000																			0.000000	2.455141									0.000000	2.025932	0.000000	0.000000	
 17					146.653689		27.866064			3420.033698										6.179381					2.026652	0.000000									-1.673369	4.470733			-3.132067	0.000000					0.000000	0.575606																			0.000000	2.455141									0.000000	1.286225	0.000000	0.000000	
 18					144.044028		29.683717			3418.613735										3.783953					0.000000	0.000000									-0.713896	3.294227			-2.047270	0.000000					0.000000	1.212709																			0.000000	2.395427									0.000000	2.025932	0.000000	0.000000	
 19					144.100072		30.235016			3416.458922										1.436298					0.000000	0.000000									-2.437866	2.353013			-0.795892	0.000000					0.000000	1.947645																			0.000000	2.347656									0.000000	0.000000	0.000000	0.000000	
 20					144.956718		29.566633			3413.590587										0.825823					-0.000000	0.000000									-2.650226	1.764760			0.000000	0.419246					0.000000	2.661298																			0.000000	0.610475									0.000000	0.000000	0.000000	0.000000	
 21					146.613805		28.484295			3410.476075										2.526959					1.119173	0.000000									-2.862585	1.176507			0.000000	0.838709					0.000000	2.907649																			-1.701135	0.000000									-1.119173	0.000000	0.000000	0.000000	
 22					148.847001		27.209043			3407.243215										4.247054					2.237949	0.000000									-3.015484	0.752965			0.000000	1.040541					0.000000	3.026185																			-1.720096	0.000000									-1.119173	0.000000	0.000000	0.000000	
 23					151.464045		25.638590			3403.831007										5.979790					3.356328	0.000000									-3.117416	0.470603			0.000000	1.346251					0.000000	3.205729																			-1.732736	0.000000									-1.119173	0.000000	0.000000	0.000000	
 24					154.464860		23.507771			3400.082303										7.725167					4.474309	0.000000									-3.219349	0.188241			0.000000	1.919556					0.000000	3.542432																			-1.745376	0.000000									-1.119173	0.000000	0.000000	0.000000	
