Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															25.541753																																																																0.000000	1.740238																																							-27.281991	
 1 	 2																																																															25.541753																																																																0.000000	2.283130																																							-27.824883	
 1 	 3																																																															25.541753																																																																0.000000	2.482000																																							-28.023752	
 1 	 4																																																															25.541753																																																																0.000000	2.912226																																							-28.453978	
 1 	 5																																																															25.541753																																																																0.000000	3.051355																																							-28.593108	
 1 	 6																																																															25.541753																																																																0.000000	2.966140																																							-28.507892	
 1 	 7																																																															25.541753																																																																0.000000	2.664280																																							-28.206033	
 1 	 8																																																															25.541753																																																																0.000000	1.134644																																							-26.676396	
 1 	 9																																																															25.541753																																																																-0.419580	0.000000																																							-25.122172	
 1 	 10																																																															25.541753																																																																-1.110391	0.000000																																							-24.431362	
 1 	 11																																																															25.541753																																																																-1.431900	0.000000																																							-24.109853	
 1 	 12																																																															25.541753																																																																-2.024756	0.000000																																							-23.516996	
 1 	 13																																																															25.541753																																																																-3.142830	0.000000																																							-22.398923	
 1 	 14																																																															25.541753																																																																-4.467771	0.000000																																							-21.073981	
 1 	 15																																																															25.541753																																																																-5.116418	0.000000																																							-20.425335	
 1 	 16																																																															25.541753																																																																-4.514773	0.000000																																							-21.026979	
 1 	 17																																																															25.541753																																																																-3.132067	0.000000																																							-22.409686	
 1 	 18																																																															25.541753																																																																-2.047270	0.000000																																							-23.494483	
 1 	 19																																																															25.541753																																																																-0.795892	0.000000																																							-24.745860	
 1 	 20																																																															25.541753																																																																0.000000	0.419246																																							-25.960999	
 1 	 21																																																															25.541753																																																																0.000000	0.838709																																							-26.380462	
 1 	 22																																																															25.541753																																																																0.000000	1.040541																																							-26.582293	
 1 	 23																																																															25.541753																																																																0.000000	1.346251																																							-26.888004	
 1 	 24																																																															25.541753																																																																0.000000	1.919556																																							-27.461309	
 2 	 1																																																															1.064117																																																																0.000000	6.787624																																							-7.851741	
 2 	 2																																																															6.331965																																																																0.000000	2.450819																																							-8.782785	
 2 	 3																																																															3.820407																																																																0.000000	5.446863																																							-9.267270	
 2 	 4																																																															1.101453																																																																0.000000	8.308689																																							-9.410142	
 2 	 5																																																															7.712592																																																																0.000000	0.000000																																							-7.712592	
 2 	 6																																																															5.463618																																																																0.000000	0.000000																																							-5.463618	
 2 	 7																																																															2.739272																																																																0.000000	0.000000																																							-2.739272	
 2 	 8																																																															2.739272																																																																0.000000	0.000000																																							-2.739272	
 2 	 9																																																															2.739272																																																																0.000000	0.000000																																							-2.739272	
 2 	 10																																																															2.739272																																																																0.000000	0.000000																																							-2.739272	
 2 	 11																																																															6.472833																																																																-3.733561	0.000000																																							-2.739272	
 2 	 12																																																															13.261112																																																																-10.521839	0.000000																																							-2.739272	
 2 	 13																																																															2.739272																																																																0.000000	0.000000																																							-2.739272	
 2 	 14																																																															13.261112																																																																-10.521839	0.000000																																							-2.739272	
 2 	 15																																																															13.261112																																																																-10.521839	0.000000																																							-2.739272	
 2 	 16																																																															10.280782																																																																-7.541509	0.000000																																							-2.739272	
 2 	 17																																																															0.000000																																																																0.000000	2.739272																																							-2.739272	
 2 	 18																																																															0.000000																																																																0.000000	2.739272																																							-2.739272	
 2 	 19																																																															0.000000																																																																0.000000	2.739272																																							-2.739272	
 2 	 20																																																															0.000000																																																																0.000000	2.739272																																							-2.739272	
 2 	 21																																																															0.000000																																																																0.000000	2.739272																																							-2.739272	
 2 	 22																																																															0.000000																																																																0.000000	2.739272																																							-2.739272	
 2 	 23																																																															0.000000																																																																0.000000	2.739272																																							-2.739272	
 2 	 24																																																															6.281767																																																																-2.669315	0.000000																																							-3.612452	
 3 	 1																																																															9.360593																																																																0.000000	2.560559																																							-11.921152	
 3 	 2																																																															9.635048																																																																0.000000	2.376553																																							-12.011601	
 3 	 3																																																															7.594690																																																																0.000000	4.877876																																							-12.472566	
 3 	 4																																																															5.013881																																																																0.000000	7.778673																																							-12.792554	
 3 	 5																																																															6.357630																																																																0.000000	5.247197																																							-11.604827	
 3 	 6																																																															10.203804																																																																0.000000	0.000000																																							-10.203804	
 3 	 7																																																															8.781017																																																																0.000000	0.000000																																							-8.781017	
 3 	 8																																																															7.125008																																																																0.000000	0.000000																																							-7.125008	
 3 	 9																																																															5.514283																																																																0.000000	0.000000																																							-5.514283	
 3 	 10																																																															4.031816																																																																0.000000	0.000000																																							-4.031816	
 3 	 11																																																															3.044790																																																																0.000000	0.000000																																							-3.044790	
 3 	 12																																																															2.739272																																																																0.000000	0.000000																																							-2.739272	
 3 	 13																																																															10.953453																																																																-8.214181	0.000000																																							-2.739272	
 3 	 14																																																															2.406010																																																																0.000000	0.425461																																							-2.831471	
 3 	 15																																																															13.824890																																																																-10.331757	0.000000																																							-3.493133	
 3 	 16																																																															14.289114																																																																-9.910105	0.000000																																							-4.379008	
 3 	 17																																																															13.216929																																																																-7.827399	0.000000																																							-5.389530	
 3 	 18																																																															9.495160																																																																-2.825725	0.000000																																							-6.669435	
 3 	 19																																																															0.000000																																																																0.000000	8.197067																																							-8.197067	
 3 	 20																																																															0.000000																																																																0.000000	10.164020																																							-10.164020	
 3 	 21																																																															1.088379																																																																0.000000	10.521839																																							-11.610218	
 3 	 22																																																															7.225896																																																																0.000000	4.955633																																							-12.181529	
 3 	 23																																																															22.503396																																																																-9.853921	0.000000																																							-12.649475	
 3 	 24																																																															23.527976																																																																-10.521839	0.000000																																							-13.006137	
 4 	 1																																																															0.000000																																																																0.000000	6.147032																																							-6.147032	
 4 	 2																																																															0.000000																																																																0.000000	7.043673																																							-7.043673	
 4 	 3																																																															0.000000																																																																0.000000	7.936799																																							-7.936799	
 4 	 4																																																															6.624633																																																																0.000000	1.946682																																							-8.571315	
 4 	 5																																																															6.443460																																																																0.000000	0.000000																																							-6.443460	
 4 	 6																																																															3.388279																																																																0.000000	0.000000																																							-3.388279	
 4 	 7																																																															2.739272																																																																0.000000	0.000000																																							-2.739272	
 4 	 8																																																															2.739272																																																																0.000000	0.000000																																							-2.739272	
