Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																					13.532944																																																																																0.000000	3.437118																																	-16.970062	
 1 	 2																																																					13.532944																																																																																0.000000	3.755960																																	-17.288904	
 1 	 3																																																					13.532944																																																																																0.000000	3.872756																																	-17.405700	
 1 	 4																																																					13.532944																																																																																0.000000	4.125428																																	-17.658373	
 1 	 5																																																					13.532944																																																																																0.000000	4.207139																																	-17.740084	
 1 	 6																																																					13.532944																																																																																0.000000	4.157092																																	-17.690036	
 1 	 7																																																					13.532944																																																																																0.000000	3.979810																																	-17.512754	
 1 	 8																																																					13.532944																																																																																0.000000	3.081452																																	-16.614396	
 1 	 9																																																					13.532944																																																																																0.000000	2.168653																																	-15.701598	
 1 	 10																																																					13.532944																																																																																0.000000	1.762939																																	-15.295884	
 1 	 11																																																					13.532944																																																																																0.000000	1.574117																																	-15.107061	
 1 	 12																																																					13.532944																																																																																0.000000	1.225931																																	-14.758875	
 1 	 13																																																					13.532944																																																																																0.000000	0.569285																																	-14.102229	
 1 	 14																																																					13.532944																																																																																-0.208856	0.000000																																	-13.324089	
 1 	 15																																																					13.532944																																																																																-0.589807	0.000000																																	-12.943138	
 1 	 16																																																					13.532944																																																																																-0.236460	0.000000																																	-13.296484	
 1 	 17																																																					13.532944																																																																																0.000000	0.575606																																	-14.108550	
 1 	 18																																																					13.532944																																																																																0.000000	1.212709																																	-14.745653	
 1 	 19																																																					13.532944																																																																																0.000000	1.947645																																	-15.480589	
 1 	 20																																																					13.532944																																																																																0.000000	2.661298																																	-16.194242	
 1 	 21																																																					13.532944																																																																																0.000000	2.907649																																	-16.440593	
 1 	 22																																																					13.532944																																																																																0.000000	3.026185																																	-16.559129	
 1 	 23																																																					13.532944																																																																																0.000000	3.205729																																	-16.738673	
 1 	 24																																																					13.532944																																																																																0.000000	3.542432																																	-17.075376	
 2 	 1																																																					13.532944																																																																																-7.974298	0.000000																																	-5.558646	
 2 	 2																																																					13.532944																																																																																-7.427495	0.000000																																	-6.105449	
 2 	 3																																																					13.532944																																																																																-7.142956	0.000000																																	-6.389989	
 2 	 4																																																					13.532944																																																																																-7.059047	0.000000																																	-6.473898	
 2 	 5																																																					4.336092																																																																																0.000000	0.497051																																	-4.833144	
 2 	 6																																																					0.000000																																																																																0.000000	3.208791																																	-3.208791	
 2 	 7																																																					0.000000																																																																																0.000000	1.608779																																	-1.608779	
 2 	 8																																																					1.614591																																																																																0.000000	0.107210																																	-1.721800	
 2 	 9																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 2 	 10																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 2 	 11																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 2 	 12																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 2 	 13																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 2 	 14																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 2 	 15																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 2 	 16																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 2 	 17																																																					12.647586																																																																																-10.153476	0.000000																																	-2.494110	
 2 	 18																																																					0.000000																																																																																0.000000	1.608779																																	-1.608779	
 2 	 19																																																					0.000000																																																																																0.000000	1.608779																																	-1.608779	
 2 	 20																																																					0.000000																																																																																0.000000	1.608779																																	-1.608779	
 2 	 21																																																					0.000000																																																																																0.000000	1.608779																																	-1.608779	
 2 	 22																																																					8.552566																																																																																-6.345107	0.000000																																	-2.207459	
 2 	 23																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 2 	 24																																																					13.532944																																																																																-10.464039	0.000000																																	-3.068905	
 3 	 1																																																					0.000000																																																																																0.000000	7.001312																																	-7.001312	
 3 	 2																																																					0.000000																																																																																0.000000	7.054432																																	-7.054432	
 3 	 3																																																					0.000000																																																																																0.000000	7.325158																																	-7.325158	
 3 	 4																																																					0.000000																																																																																0.000000	7.513087																																	-7.513087	
 3 	 5																																																					0.000000																																																																																0.000000	6.815533																																	-6.815533	
 3 	 6																																																					0.000000																																																																																0.000000	5.992710																																	-5.992710	
 3 	 7																																																					0.000000																																																																																0.000000	5.157105																																	-5.157105	
 3 	 8																																																					0.000000																																																																																0.000000	4.184529																																	-4.184529	
 3 	 9																																																					0.000000																																																																																0.000000	3.238547																																	-3.238547	
 3 	 10																																																					0.000000																																																																																0.000000	2.367892																																	-2.367892	
 3 	 11																																																					0.000000																																																																																0.000000	1.788210																																	-1.788210	
 3 	 12																																																					10.692392																																																																																-8.335146	0.000000																																	-2.357246	
 3 	 13																																																					13.532944																																																																																-10.976859	0.000000																																	-2.556085	
 3 	 14																																																					13.532944																																																																																-10.922711	0.000000																																	-2.610234	
 3 	 15																																																					13.532944																																																																																-10.534116	0.000000																																	-2.998829	
 3 	 16																																																					8.618806																																																																																-5.443691	0.000000																																	-3.175115	
 3 	 17																																																					0.000000																																																																																0.000000	3.165280																																	-3.165280	
 3 	 18																																																					0.000000																																																																																0.000000	3.916970																																	-3.916970	
 3 	 19																																																					0.000000																																																																																0.000000	4.814151																																	-4.814151	
 3 	 20																																																					0.000000																																																																																0.000000	5.969345																																	-5.969345	
 3 	 21																																																					0.000000																																																																																0.000000	6.818700																																	-6.818700	
