Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		27.339601																	-9.439445	-17.900156																																																																																																																																			0.000000	
 1 	 2																		26.539350																	-8.859682	-17.679668																																																																																																																																			0.000000	
 1 	 3																		26.167269																	-8.476926	-17.690343																																																																																																																																			0.000000	
 1 	 4																		25.994134																	-7.510654	-18.483480																																																																																																																																			0.000000	
 1 	 5																		26.037499																	-7.071610	-18.965889																																																																																																																																			0.000000	
 1 	 6																		26.449465																	-6.898994	-19.550471																																																																																																																																			0.000000	
 1 	 7																		26.837196																	-6.416796	-20.420399																																																																																																																																			0.000000	
 1 	 8																		25.069818																	-6.281706	-18.788112																																																																																																																																			0.000000	
 1 	 9																		24.896166																	-6.694482	-18.201684																																																																																																																																			0.000000	
 1 	 10																		26.798913																	-7.835246	-18.963667																																																																																																																																			0.000000	
 1 	 11																		27.146955																	-8.384989	-18.761965																																																																																																																																			0.000000	
 1 	 12																		25.166705																	-8.257404	-16.909301																																																																																																																																			0.000000	
 1 	 13																		24.228672																	-7.745186	-16.483487																																																																																																																																			0.000000	
 1 	 14																		23.719636																	-7.112888	-16.606749																																																																																																																																			0.000000	
 1 	 15																		19.399439																	-6.210408	-13.189030																																																																																																																																			0.000000	
 1 	 16																		17.576179																	-5.701943	-11.874236																																																																																																																																			0.000000	
 1 	 17																		18.697330																	-5.829528	-12.867802																																																																																																																																			0.000000	
 1 	 18																		18.844742																	-5.801384	-13.043357																																																																																																																																			0.000000	
 1 	 19																		22.803467																	-5.266651	-17.536816																																																																																																																																			0.000000	
 1 	 20																		29.472559																	-6.049050	-23.423509																																																																																																																																			0.000000	
 1 	 21																		32.921180																	-7.595085	-25.326095																																																																																																																																			0.000000	
 1 	 22																		31.650315																	-8.780879	-22.869435																																																																																																																																			0.000000	
 1 	 23																		30.140821																	-9.249943	-20.890878																																																																																																																																			0.000000	
 1 	 24																		28.740349																	-9.111100	-19.629249																																																																																																																																			0.000000	
 2 	 1																		18.612153																	-4.773196	-13.838957																																																																																																																																			0.000000	
 2 	 2																		17.554033																	-4.544293	-13.009740																																																																																																																																			0.000000	
 2 	 3																		16.462953																	-4.457985	-12.004968																																																																																																																																			0.000000	
 2 	 4																		15.444442																	-4.313513	-11.130929																																																																																																																																			0.000000	
 2 	 5																		13.347751																	-3.639937	-9.707814																																																																																																																																			0.000000	
 2 	 6																		10.020047																	-2.504802	-7.515245																																																																																																																																			0.000000	
 2 	 7																		8.450920																	-2.026357	-6.424563																																																																																																																																			0.000000	
 2 	 8																		8.540842																	-2.086397	-6.454445																																																																																																																																			0.000000	
 2 	 9																		8.365667																	-2.168952	-6.196715																																																																																																																																			0.000000	
 2 	 10																		5.870881																	-2.148313	-3.722568																																																																																																																																			0.000000	
 2 	 11																		3.442439																	-2.253384	-1.189055																																																																																																																																			0.000000	
 2 	 12																		3.998225																	0.000000	-3.998225																																																																																																																																			0.000000	
 2 	 13																		0.131082																	0.000000	-0.131082																																																																																																																																			0.000000	
 2 	 14																		5.311666																	0.000000	-5.311666																																																																																																																																			0.000000	
 2 	 15																		8.732905																	-2.457896	-6.275009																																																																																																																																			0.000000	
 2 	 16																		12.112319																	-2.624883	-9.487436																																																																																																																																			0.000000	
 2 	 17																		12.455016																	-2.825642	-9.629374																																																																																																																																			0.000000	
 2 	 18																		14.360683																	-2.979495	-11.381188																																																																																																																																			0.000000	
 2 	 19																		14.934531																	-3.086442	-11.848090																																																																																																																																			0.000000	
 2 	 20																		14.996215																	-3.502970	-11.493245																																																																																																																																			0.000000	
 2 	 21																		15.076177																	-3.833192	-11.242985																																																																																																																																			0.000000	
 2 	 22																		17.641567																	-4.086486	-13.555081																																																																																																																																			0.000000	
 2 	 23																		18.338798																	-4.219700	-14.119098																																																																																																																																			0.000000	
 2 	 24																		19.874983																	-4.844494	-15.030489																																																																																																																																			0.000000	
 3 	 1																		14.960489																	-3.855707	-11.104783																																																																																																																																			0.000000	
 3 	 2																		14.670984																	-3.850078	-10.820907																																																																																																																																			0.000000	
 3 	 3																		13.732633																	-3.673710	-10.058924																																																																																																																																			0.000000	
 3 	 4																		12.764573																	-3.534867	-9.229707																																																																																																																																			0.000000	
 3 	 5																		11.040686																	-3.110833	-7.929853																																																																																																																																			0.000000	
 3 	 6																		9.464487																	-2.718695	-6.745791																																																																																																																																			0.000000	
 3 	 7																		8.812441																	-2.664284	-6.148157																																																																																																																																			0.000000	
 3 	 8																		8.217920																	-2.529193	-5.688727																																																																																																																																			0.000000	
 3 	 9																		8.534090																	-2.647398	-5.886693																																																																																																																																			0.000000	
 3 	 10																		10.045417																	-3.146482	-6.898935																																																																																																																																			0.000000	
 3 	 11																		12.721568																	-3.928881	-8.792687																																																																																																																																			0.000000	
 3 	 12																		15.917622																	-4.865133	-11.052490																																																																																																																																			0.000000	
 3 	 13																		18.562050																	-5.653160	-12.908890																																																																																																																																			0.000000	
 3 	 14																		19.824457																	-6.037793	-13.786664																																																																																																																																			0.000000	
 3 	 15																		19.898953																	-5.992763	-13.906191																																																																																																																																			0.000000	
 3 	 16																		18.855186																	-5.636274	-13.218912																																																																																																																																			0.000000	
 3 	 17																		17.773668																	-5.193477	-12.580191																																																																																																																																			0.000000	
 3 	 18																		16.531260																	-4.690641	-11.840619																																																																																																																																			0.000000	
 3 	 19																		14.401824																	-3.801295	-10.600529																																																																																																																																			0.000000	
 3 	 20																		12.835360																	-3.090194	-9.745166																																																																																																																																			0.000000	
 3 	 21																		12.171417																	-2.885682	-9.285735																																																																																																																																			0.000000	
 3 	 22																		11.909329																	-2.750592	-9.158738																																																																																																																																			0.000000	
 3 	 23																		11.692255																	-2.656779	-9.035476																																																																																																																																			0.000000	
 3 	 24																		10.884965																	-2.551709	-8.333256																																																																																																																																			0.000000	
 4 	 1																		0.684997																	-0.315211	-0.369786																																																																																																																																			0.000000	
 4 	 2																		0.825301																	-0.365870	-0.459431																																																																																																																																			0.000000	
 4 	 3																		1.017932																	-0.424034	-0.593899																																																																																																																																			0.000000	
 4 	 4																		1.251651																	-0.482198	-0.769453																																																																																																																																			0.000000	
 4 	 5																		1.556305																	-0.532857	-1.023448																																																																																																																																			0.000000	
 4 	 6																		1.333099																	-0.324592	-1.008507																																																																																																																																			0.000000	
 4 	 7																		1.172035																	-0.227027	-0.945008																																																																																																																																			0.000000	
 4 	 8																		1.615116																	-0.326469	-1.288648																																																																																																																																			0.000000	
 4 	 9																		2.061725																	-0.380880	-1.680845																																																																																																																																			0.000000	
 4 	 10																		2.375604																	-0.407148	-1.968456																																																																																																																																			0.000000	
 4 	 11																		2.416657																	-0.399643	-2.017014																																																																																																																																			0.000000	
 4 	 12																		2.297026																	-0.377128	-1.919899																																																																																																																																			0.000000	
 4 	 13																		2.181252																	-0.380880	-1.800372																																																																																																																																			0.000000	
 4 	 14																		2.229983																	-0.418405	-1.811577																																																																																																																																			0.000000	
 4 	 15																		2.559131																	-0.515970	-2.043160																																																																																																																																			0.000000	
 4 	 16																		3.413552																	-0.716730	-2.696822																																																																																																																																			0.000000	
 4 	 17																		5.028686																	-1.046951	-3.981735																																																																																																																																			0.000000	
 4 	 18																		7.827078																	-1.607952	-6.219126																																																																																																																																			0.000000	
 4 	 19																		12.850464																	-2.720572	-10.129893																																																																																																																																			0.000000	
 4 	 20																		20.274201																	-4.746928	-15.527273																																																																																																																																			0.000000	
 4 	 21																		24.636749																	-6.503104	-18.133644																																																																																																																																			0.000000	
 4 	 22																		26.480397																	-6.803305	-19.677092																																																																																																																																			0.000000	
 4 	 23																		22.359134																	-6.542506	-15.816629																																																																																																																																			0.000000	
 4 	 24																		24.251288																	-6.169131	-18.082157																																																																																																																																			0.000000	
 5 	 1																		26.878219																	-7.869019	-19.009200																																																																																																																																			0.000000	
 5 	 2																		25.174613																	-7.137279	-18.037334																																																																																																																																			0.000000	
 5 	 3																		19.824941																	-6.142863	-13.682078																																																																																																																																			0.000000	
 5 	 4																		13.794371																	-4.912039	-8.882332																																																																																																																																			0.000000	
 5 	 5																		9.679056																	-3.889479	-5.789577																																																																																																																																			0.000000	
 5 	 6																		7.183432																	-2.970114	-4.213318																																																																																																																																			0.000000	
 5 	 7																		5.332797																	-2.195220	-3.137577																																																																																																																																			0.000000	
 5 	 8																		5.177500																	-2.133303	-3.044197																																																																																																																																			0.000000	
 5 	 9																		6.111995																	-2.283404	-3.828591																																																																																																																																			0.000000	
 5 	 10																		7.860610																	-2.399732	-5.460879																																																																																																																																			0.000000	
 5 	 11																		7.588655																	-2.489792	-5.098863																																																																																																																																			0.000000	
 5 	 12																		5.860688																	-2.431628	-3.429060																																																																																																																																			0.000000	
 5 	 13																		5.856041																	-2.339692	-3.516350																																																																																																																																			0.000000	
 5 	 14																		8.410680																	-2.210230	-6.200450																																																																																																																																			0.000000	
 5 	 15																		8.464054																	-2.039491	-6.424563																																																																																																																																			0.000000	
 5 	 16																		8.109874																	-1.778691	-6.331183																																																																																																																																			0.000000	
 5 	 17																		5.920477																	-1.251463	-4.669014																																																																																																																																			0.000000	
 5 	 18																		3.106842																	-1.030065	-2.076777																																																																																																																																			0.000000	
 5 	 19																		3.236978																	-1.305874	-1.931104																																																																																																																																			0.000000	
 5 	 20																		5.288959																	-1.598570	-3.690389																																																																																																																																			0.000000	
 5 	 21																		6.936637																	-1.696136	-5.240501																																																																																																																																			0.000000	
 5 	 22																		8.616453																	-1.878133	-6.738321																																																																																																																																			0.000000	
 5 	 23																		9.945454																	-2.123922	-7.821532																																																																																																																																			0.000000	
 5 	 24																		10.583475																	-2.377217	-8.206259																																																																																																																																			0.000000	
 6 	 1																		10.799522																	-2.653026	-8.146495																																																																																																																																			0.000000	
 6 	 2																		10.668470																	-2.988876	-7.679594																																																																																																																																			0.000000	
 6 	 3																		11.012362																	-3.448559	-7.563802																																																																																																																																			0.000000	
 6 	 4																		8.336695																	-2.771231	-5.565465																																																																																																																																			0.000000	
 6 	 5																		4.421992																	-1.512263	-2.909729																																																																																																																																			0.000000	
 6 	 6																		2.090942																	-0.641680	-1.449262																																																																																																																																			0.000000	
