Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															54.211467																																																																0.000000	2.535994																																							-56.747461	
 1 	 2																																																															54.211467																																																																0.000000	2.726074																																							-56.937541	
 1 	 3																																																															54.211467																																																																0.000000	2.855218																																							-57.066685	
 1 	 4																																																															54.211467																																																																0.000000	3.131164																																							-57.342631	
 1 	 5																																																															54.211467																																																																0.000000	3.482588																																							-57.694055	
 1 	 6																																																															54.211467																																																																0.000000	4.007820																																							-58.219287	
 1 	 7																																																															54.211467																																																																0.000000	4.113593																																							-58.325061	
 1 	 8																																																															54.211467																																																																0.000000	1.478432																																							-55.689899	
 1 	 9																																																															54.211467																																																																-2.255492	0.000000																																							-51.955975	
 1 	 10																																																															54.211467																																																																-5.677463	0.000000																																							-48.534004	
 1 	 11																																																															54.211467																																																																-8.224855	0.000000																																							-45.986612	
 1 	 12																																																															54.211467																																																																-9.217844	0.000000																																							-44.993623	
 1 	 13																																																															54.211467																																																																-9.445491	0.000000																																							-44.765976	
 1 	 14																																																															54.211467																																																																-8.669415	0.000000																																							-45.542052	
 1 	 15																																																															54.211467																																																																-5.191701	0.000000																																							-49.019766	
 1 	 16																																																															54.211467																																																																-1.049052	0.000000																																							-53.162416	
 1 	 17																																																															54.211467																																																																0.000000	0.503273																																							-54.714741	
 1 	 18																																																															54.211467																																																																0.000000	1.053607																																							-55.265074	
 1 	 19																																																															54.211467																																																																0.000000	1.462332																																							-55.673799	
 1 	 20																																																															54.211467																																																																0.000000	1.935630																																							-56.147097	
 1 	 21																																																															54.211467																																																																0.000000	2.570097																																							-56.781564	
 1 	 22																																																															54.211467																																																																0.000000	3.297874																																							-57.509341	
 1 	 23																																																															54.211467																																																																0.000000	4.269570																																							-58.481037	
 1 	 24																																																															54.211467																																																																0.000000	5.176521																																							-59.387989	
 2 	 1																																																															53.670214																																																																-9.345162	0.000000																																							-44.325052	
 2 	 2																																																															48.678322																																																																-3.944718	0.000000																																							-44.733604	
 2 	 3																																																															42.438247																																																																0.000000	2.747187																																							-45.185435	
 2 	 4																																																															36.744677																																																																0.000000	8.878047																																							-45.622724	
 2 	 5																																																															35.397812																																																																0.000000	10.651641																																							-46.049453	
 2 	 6																																																															35.307318																																																																0.000000	10.688297																																							-45.995614	
 2 	 7																																																															40.402515																																																																0.000000	4.132179																																							-44.534694	
 2 	 8																																																															42.224124																																																																0.000000	0.000000																																							-42.224124	
 2 	 9																																																															39.949216																																																																0.000000	0.000000																																							-39.949216	
 2 	 10																																																															41.552155																																																																-3.303970	0.000000																																							-38.248185	
 2 	 11																																																															44.341191																																																																-7.252879	0.000000																																							-37.088312	
 2 	 12																																																															42.920936																																																																-6.474363	0.000000																																							-36.446573	
 2 	 13																																																															43.636044																																																																-7.347179	0.000000																																							-36.288865	
 2 	 14																																																															48.586353																																																																-12.069841	0.000000																																							-36.516512	
 2 	 15																																																															49.202990																																																																-12.069841	0.000000																																							-37.133149	
 2 	 16																																																															39.277388																																																																-0.903695	0.000000																																							-38.373693	
 2 	 17																																																															38.463505																																																																0.000000	1.763561																																							-40.227066	
 2 	 18																																																															40.069593																																																																0.000000	1.324443																																							-41.394036	
 2 	 19																																																															36.642792																																																																0.000000	5.541862																																							-42.184654	
 2 	 20																																																															45.691993																																																																-2.878238	0.000000																																							-42.813755	
 2 	 21																																																															39.874313																																																																0.000000	3.464674																																							-43.338987	
 2 	 22																																																															32.026918																																																																0.000000	11.582821																																							-43.609739	
 2 	 23																																																															33.637317																																																																0.000000	10.115762																																							-43.753079	
 2 	 24																																																															54.211467																																																																-10.347248	0.000000																																							-43.864219	
 3 	 1																																																															31.396558																																																																0.000000	12.069841																																							-43.466400	
 3 	 2																																																															31.561364																																																																0.000000	12.069841																																							-43.631205	
 3 	 3																																																															43.025266																																																																0.000000	0.810388																																							-43.835655	
 3 	 4																																																															44.072130																																																																0.000000	0.000000																																							-44.072130	
 3 	 5																																																															44.256844																																																																0.000000	0.000000																																							-44.256844	
 3 	 6																																																															43.616837																																																																0.000000	0.000000																																							-43.616837	
 3 	 7																																																															41.123457																																																																0.000000	0.000000																																							-41.123457	
 3 	 8																																																															37.359064																																																																0.000000	0.000000																																							-37.359064	
 3 	 9																																																															34.570394																																																																-2.033457	0.000000																																							-32.536937	
 3 	 10																																																															28.127171																																																																0.000000	0.000000																																							-28.127171	
 3 	 11																																																															25.087092																																																																0.000000	0.000000																																							-25.087092	
 3 	 12																																																															35.133043																																																																-12.069841	0.000000																																							-23.063201	
 3 	 13																																																															21.863789																																																																0.000000	0.000000																																							-21.863789	
 3 	 14																																																															21.658353																																																																0.000000	0.000000																																							-21.658353	
 3 	 15																																																															22.646513																																																																0.000000	0.000000																																							-22.646513	
 3 	 16																																																															13.623155																																																																0.000000	12.069841																																							-25.692996	
 3 	 17																																																															30.909307																																																																0.000000	0.000000																																							-30.909307	
 3 	 18																																																															32.839889																																																																0.000000	0.000000																																							-32.839889	
