Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000															0.000000		0.000000		5.639842	3.485188	0.371084	0.680129														0.000000	-0.794257										-2.912228										-0.439878	0.000000	-0.105262	-0.021848					-0.024240					0.000000	0.000000		-0.070171													-1.308152				0.032401									-0.371084	0.000000	0.000000	0.000000																																																	-4.161525	
 1 	 2	0.000000															0.000000															0.000000		0.000000		5.420355	3.388605	0.192121	0.507268														0.000000	-0.794257										-2.912228										-0.439878	0.000000	-0.105262	-0.008739					-0.009696					0.000000	0.000000		-0.070171													-1.534210				0.032401									-0.192121	0.000000	0.000000	0.000000																																																	-3.474188	
 1 	 3	0.000000															0.000000															0.000000		0.000000		5.401270	3.090075	0.195631	0.467139														0.000000	-0.794257										-2.912228										-0.439878	-0.154340	-0.105262	-0.004370					-0.004848					0.000000	0.000000		-0.070171													-1.476767				0.032401									-0.195631	0.000000	0.000000	0.000000																																																	-3.028765	
 1 	 4	0.000000															0.000000															0.000000		0.000000		5.716185	3.190756	0.133345	0.351898														0.000000	-0.794257										-2.912228										-0.439878	-0.933042	-0.105262	-0.052434					-0.058176					0.000000	0.000000		-0.070171													-1.180485				0.032401									-0.133345	0.000000	0.000000	0.000000																																																	-2.745307	
 1 	 5	0.000000															0.000000															0.000000		0.000000		6.236272	2.929103	0.132467	0.343666														0.000000	-0.794257										-2.912228										-0.439878	-0.806130	-0.105262	-0.139825					-0.155135					0.000000	0.000000		-0.070171													-1.552434				0.032401									-0.132467	0.000000	0.000000	0.000000																																																	-2.566121	
 1 	 6	0.000000															0.000000															0.000000		0.253771		6.484387	2.733010	0.133345	0.387910														0.000000	-0.794257										-2.912228										-0.439878	0.000000	-0.105262	-0.349562					-0.387838					0.000000	0.000000		-0.070171													-2.445114				0.032401									-0.133345	0.133345	0.000000	0.000000																																																	-2.520515	
 1 	 7	0.000000															0.000000															0.000000		1.332480		6.021557	2.861202	0.235985	0.627654														0.000000	-0.794257										-2.912228										-0.439878	0.000000	-0.105262	-0.677275					-0.751436					0.000000	0.000000		-0.070171													-3.570628				0.032401									-0.235985	0.235985	0.000000	0.877451																																																	-2.667596	
 1 	 8	0.000000															0.000000															0.000000		0.177187		5.453756	2.561502	0.588646	0.614277														0.000000	-0.794257										-2.912228										-0.439878	0.000000	-0.105262	-0.589884					-0.654475					0.000000	0.000000		-0.070171													-3.467969				0.032401									-0.588646	1.515000	0.000000	1.416609																																																	-2.736608	
 1 	 9	0.000000															0.000000															0.024128		0.003483		6.016785	2.015954	0.518465	0.644117														0.000000	-0.794257										-2.912228										-0.438640	0.000000	-0.105262	-0.546190					-0.605997					0.000000	0.000000		-0.070171													0.000000				0.032401									-0.518465	0.272169	0.000000	0.000000																																																	-3.536292	
 1 	 10	0.000000															0.000000															1.471793		0.399321		6.288757	1.300068	0.719359	1.081416														0.000000	-0.794257										-2.844567										-0.353877	0.000000	-0.105262	-0.611735					-0.678718					0.000000	0.000000		-0.070171													-1.716268				0.032401									-0.719359	1.515000	0.000000	0.000000																																																	-4.913902	
 1 	 11	0.000000															0.000000															4.294742		0.957370		5.496698	0.608181	0.711464	1.084503														0.000000	-0.794257										-2.115047										-0.242134	0.000000	-0.105262	-0.699122					-0.775675					0.000000	0.000000		-0.070171													-3.155925				0.032401									-0.711464	1.515000	0.000000	0.000000																																																	-6.031303	
 1 	 12	0.000000															0.000000															6.176707		1.360484		4.547182	0.922515	0.417579	0.992927														0.000000	-0.794257										-1.425579										-0.140475	0.000000	-0.105262	-0.769037					-0.853245					0.000000	0.000000		-0.070171													-3.158597				0.032401									-0.417579	0.000000	0.000000	0.000000																																																	-6.715594	
 1 	 13	0.000000															0.000000															6.852284		1.405996		3.001236	1.189436	0.255285	0.926046														0.000000	-0.794257										-0.921472										-0.074067	0.000000	-0.105262	-0.699122					-0.775675					0.000000	0.000000		-0.070171													-3.570628				0.032401									-0.255285	0.000000	0.000000	0.645714																																																	-7.042460	
