Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															8.737557									0.000000	0.439878																																																						0.000000	1.187452	-0.013590	0.000000																																					-10.351297	
 1 	 2																																																															8.737557									0.000000	0.439878																																																						0.000000	1.273271	-0.009904	0.000000																																					-10.440803	
 1 	 3																																																															8.737557									0.000000	0.439878																																																						0.000000	1.390544	-0.004867	0.000000																																					-10.563113	
 1 	 4																																																															8.737557									0.000000	0.439878																																																						0.000000	1.825490	0.000000	0.013815																																					-11.016740	
 1 	 5																																																															8.737557									0.000000	0.439878																																																						0.000000	2.194875	0.000000	0.029680																																					-11.401991	
 1 	 6																																																															8.737557									0.000000	0.439878																																																						0.000000	2.451731	0.000000	0.040712																																					-11.669878	
 1 	 7																																																															8.737557									0.000000	0.439878																																																						0.000000	2.639328	0.000000	0.048770																																					-11.865533	
 1 	 8																																																															8.737557									0.000000	0.439878																																																						0.000000	2.718535	0.000000	0.052172																																					-11.948142	
 1 	 9																																																															8.737557									0.000111	0.438640																																																						0.000000	1.477610	0.000000	0.000000																																					-10.653918	
 1 	 10																																																															8.534553									0.012689	0.353877																																																						0.000000	0.000000	0.000000	0.000000																																					-8.901120	
 1 	 11																																																															6.345776									0.030423	0.242134																																																						0.000000	0.000000	0.000000	0.000000																																					-6.618332	
 1 	 12																																																															4.277165									0.043233	0.140475																																																						0.000000	0.000000	0.000000	0.000000																																					-4.460873	
 1 	 13																																																															2.764693									0.044679	0.074067																																																						0.000000	0.000000	0.000000	0.000000																																					-2.883439	
 1 	 14																																																															1.941934									0.062804	0.020604																																																						0.000000	0.000000	0.000000	0.000000																																					-2.025342	
 1 	 15																																																															2.916667									0.071511	0.002832																																																						-1.185792	0.000000	0.000000	0.000000																																					-1.805217	
 1 	 16																																																															7.000076									0.060219	0.028938																																																						-4.924288	0.000000	0.000000	0.000000																																					-2.164945	
 1 	 17																																																															8.317292									0.038962	0.106771																																																						-4.924288	0.000000	0.000000	0.000000																																					-3.538737	
 1 	 18																																																															8.737557									0.006106	0.241819																																																						-2.965285	0.000000	0.000000	0.000000																																					-6.020197	
 1 	 19																																																															8.737557									0.000000	0.292322																																																						-1.931613	0.000000	0.000000	0.000000																																					-7.098266	
 1 	 20																																																															8.737557									0.000000	0.316750																																																						-1.362853	0.000000	0.000000	0.000000																																					-7.691455	
 1 	 21																																																															8.737557									0.000000	0.339962																																																						-0.822432	0.000000	0.000000	0.000000																																					-8.255088	
 1 	 22																																																															8.737557									0.000000	0.378599																																																						-0.490268	0.000000	-0.024371	0.000000																																					-8.601518	
 1 	 23																																																															8.737557									0.000000	0.439878																																																						-0.259681	0.000000	-0.075746	0.000000																																					-8.842009	
 1 	 24																																																															8.737557									0.000000	0.439878																																																						-0.069190	0.000000	-0.071655	0.004091																																					-9.040682	
 2 	 1																																																															8.737557									0.000000	0.439878																																																						0.000000	1.550828	0.000000	0.002018																																					-10.730281	
 2 	 2																																																															8.737557									0.000000	0.439878																																																						0.000000	1.833348	0.000000	0.014152																																					-11.024936	
 2 	 3																																																															8.737557									0.000000	0.382140																																																						0.000000	1.923107	0.000000	0.075746																																					-11.118550	
 2 	 4																																																															8.737557									0.000000	0.439878																																																						0.000000	1.953516	0.000000	0.019313																																					-11.150265	
 2 	 5																																																															8.737557									0.000000	0.439878																																																						0.000000	1.882167	0.000000	0.016249																																					-11.075851	
 2 	 6																																																															8.737557									0.000000	0.439878																																																						0.000000	1.750202	0.000000	0.010581																																					-10.938218	
 2 	 7																																																															8.737557									0.000000	0.439878																																																						0.000000	1.720015	0.000000	0.009284																																					-10.906734	
 2 	 8																																																															8.737557									0.000000	0.439878																																																						0.000000	1.790338	0.000000	0.012305																																					-10.980078	
 2 	 9																																																															8.737557									0.000092	0.404495																																																						0.000000	0.682182	0.000000	0.000000																																					-9.824326	
 2 	 10																																																															8.737557									0.011744	0.369517																																																						-0.612506	0.000000	-0.032283	0.000000																																					-8.474030	
 2 	 11																																																															8.737557									0.000000	0.377217																																																						-1.718592	0.000000	-0.075746	0.000000																																					-7.320437	
