Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																					3.177026																																																																																0.000000	3.124699																																	-6.301725	
 1 	 2																																																					3.177026																																																																																0.000000	3.177265																																	-6.354292	
 1 	 3																																																					3.177026																																																																																0.000000	3.249098																																	-6.426125	
 1 	 4																																																					3.177026																																																																																0.000000	3.515514																																	-6.692541	
 1 	 5																																																					3.177026																																																																																0.000000	3.741773																																	-6.918799	
 1 	 6																																																					3.177026																																																																																0.000000	3.899103																																	-7.076130	
 1 	 7																																																					3.177026																																																																																0.000000	4.014012																																	-7.191038	
 1 	 8																																																					3.177026																																																																																0.000000	4.062528																																	-7.239555	
 1 	 9																																																					3.177026																																																																																0.000000	3.302428																																	-6.479455	
 1 	 10																																																					3.177026																																																																																0.000000	2.273007																																	-5.450034	
 1 	 11																																																					3.177026																																																																																0.000000	0.932323																																	-4.109349	
 1 	 12																																																					3.177026																																																																																-0.334757	0.000000																																	-2.842270	
 1 	 13																																																					3.177026																																																																																-1.261186	0.000000																																	-1.915840	
 1 	 14																																																					3.177026																																																																																-1.765148	0.000000																																	-1.411878	
 1 	 15																																																					3.177026																																																																																-1.894428	0.000000																																	-1.282599	
 1 	 16																																																					3.177026																																																																																-1.683159	0.000000																																	-1.493868	
 1 	 17																																																					3.177026																																																																																-0.876329	0.000000																																	-2.300697	
 1 	 18																																																					3.177026																																																																																0.000000	0.581037																																	-3.758063	
 1 	 19																																																					3.177026																																																																																0.000000	1.214188																																	-4.391215	
 1 	 20																																																					3.177026																																																																																0.000000	1.562569																																	-4.739595	
 1 	 21																																																					3.177026																																																																																0.000000	1.893591																																	-5.070618	
 1 	 22																																																					3.177026																																																																																0.000000	2.097050																																	-5.274077	
 1 	 23																																																					3.177026																																																																																0.000000	2.238291																																	-5.415318	
 1 	 24																																																					3.177026																																																																																0.000000	2.354972																																	-5.531998	
 2 	 1																																																					3.177026																																																																																0.000000	3.347276																																	-6.524303	
 2 	 2																																																					3.177026																																																																																0.000000	3.520328																																	-6.697354	
 2 	 3																																																					3.177026																																																																																0.000000	3.575307																																	-6.752334	
 2 	 4																																																					3.177026																																																																																0.000000	3.593933																																	-6.770960	
 2 	 5																																																					3.177026																																																																																0.000000	3.550230																																	-6.727257	
 2 	 6																																																					3.177026																																																																																0.000000	3.469398																																	-6.646425	
 2 	 7																																																					3.177026																																																																																0.000000	3.450908																																	-6.627934	
 2 	 8																																																					3.177026																																																																																0.000000	3.493983																																	-6.671009	
 2 	 9																																																					3.177026																																																																																0.000000	2.815208																																	-5.992234	
 2 	 10																																																					3.177026																																																																																0.000000	2.022177																																	-5.199203	
 2 	 11																																																					3.177026																																																																																0.000000	1.344670																																	-4.521696	
 2 	 12																																																					3.177026																																																																																0.000000	0.873034																																	-4.050061	
 2 	 13																																																					3.177026																																																																																0.000000	0.630058																																	-3.807084	
 2 	 14																																																					3.177026																																																																																0.000000	0.577996																																	-3.755022	
 2 	 15																																																					3.177026																																																																																0.000000	0.667175																																	-3.844201	
 2 	 16																																																					3.177026																																																																																0.000000	0.896474																																	-4.073500	
 2 	 17																																																					3.177026																																																																																0.000000	1.319593																																	-4.496619	
 2 	 18																																																					3.177026																																																																																0.000000	2.015086																																	-5.192112	
 2 	 19																																																					3.177026																																																																																0.000000	2.402220																																	-5.579247	
 2 	 20																																																					3.177026																																																																																0.000000	2.497493																																	-5.674519	
 2 	 21																																																					3.177026																																																																																0.000000	2.554873																																	-5.731900	
 2 	 22																																																					3.177026																																																																																0.000000	2.536887																																	-5.713914	
 2 	 23																																																					3.177026																																																																																0.000000	2.478239																																	-5.655266	
 2 	 24																																																					3.177026																																																																																0.000000	2.403488																																	-5.580515	
 3 	 1																																																					3.177026																																																																																0.000000	1.200511																																	-4.377538	
 3 	 2																																																					3.177026																																																																																0.000000	1.253078																																	-4.430104	
 3 	 3																																																					3.177026																																																																																0.000000	1.319593																																	-4.496619	
 3 	 4																																																					3.177026																																																																																0.000000	1.374572																																	-4.551599	
 3 	 5																																																					3.177026																																																																																0.000000	1.432716																																	-4.609742	
 3 	 6																																																					3.177026																																																																																0.000000	1.465019																																	-4.642045	
