Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	16564.079307	35180.750000
WET_BIOMASS	11164.800000	11164.800000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	17386.850000	17386.850000
H2	0.000000	0.000000
ELEC_EXPORT	134.735512	100000000.000000
CO2_EMISSIONS	5668.751137	100000000.000000
RES_WIND	79998.084297	100000000.000000
RES_SOLAR	37531.729909	100000000.000000
RES_HYDRO	7489.408256	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
