Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																															4.286419							18.403814																																																									0.000000	0.681970																			0.000000	2.928048																			-26.300250	
 1 	 2																																																															4.286419							18.403814																																																									0.000000	0.711999																			0.000000	3.056979																			-26.459210	
 1 	 3																																																															4.286419							18.403814																																																									0.000000	0.728646																			0.000000	3.128454																			-26.547333	
 1 	 4																																																															4.286419							18.403814																																																									0.000000	0.746187																			0.000000	3.203766																			-26.640186	
 1 	 5																																																															4.286419							18.403814																																																									0.000000	0.772057																			0.000000	3.314840																			-26.777129	
 1 	 6																																																															4.286419							18.403814																																																									0.000000	0.754737																			0.000000	3.240475																			-26.685444	
 1 	 7																																																															4.286419							18.403814																																																									0.000000	0.377409																			0.000000	1.620412																			-24.688054	
 1 	 8																																																															4.286419							18.403814																																																									-0.142651	0.000000																			-0.612473	0.000000																			-21.935109	
 1 	 9																																																															4.286419							18.403814																																																									-0.504688	0.000000																			-2.166886	0.000000																			-20.018658	
 1 	 10																																																															4.286419							18.403814																																																									-0.729972	0.000000																			-3.134149	0.000000																			-18.826111	
 1 	 11																																																															4.286419							18.403814																																																									-0.881806	0.000000																			-3.786049	0.000000																			-18.022378	
 1 	 12																																																															4.286419							18.403814																																																									-0.976163	0.000000																			-4.191171	0.000000																			-17.522899	
 1 	 13																																																															4.286419							18.403814																																																									-1.008222	0.000000																			-4.328817	0.000000																			-17.353194	
 1 	 14																																																															4.286419							18.403814																																																									-0.961545	0.000000																			-4.128411	0.000000																			-17.600276	
 1 	 15																																																															4.286419							18.403814																																																									-0.716811	0.000000																			-3.077642	0.000000																			-18.895780	
 1 	 16																																																															4.286419							18.403814																																																									-0.304269	0.000000																			-1.306386	0.000000																			-21.079577	
 1 	 17																																																															4.286419							18.403814																																																									-0.143445	0.000000																			-0.615883	0.000000																			-21.930904	
 1 	 18																																																															4.286419							18.403814																																																									-0.045823	0.000000																			-0.196741	0.000000																			-22.447669	
 1 	 19																																																															4.286419							18.403814																																																									0.000000	0.029427																			0.000000	0.126343																			-22.846002	
 1 	 20																																																															4.286419							18.403814																																																									0.000000	0.090941																			0.000000	0.390457																			-23.171630	
 1 	 21																																																															4.286419							18.403814																																																									0.000000	0.137849																			0.000000	0.591858																			-23.419939	
 1 	 22																																																															4.286419							18.403814																																																									0.000000	0.179572																			0.000000	0.770996																			-23.640801	
 1 	 23																																																															4.286419							18.403814																																																									0.000000	0.219045																			0.000000	0.940472																			-23.849749	
 1 	 24																																																															4.286419							18.403814																																																									0.000000	0.259422																			0.000000	1.113832																			-24.063486	
 2 	 1																																																															3.230534							6.979655																																																									-0.071659	0.000000																			0.000000	6.583030																			-16.721560	
 2 	 2																																																															4.286419							7.312828																																																									-1.049945	0.000000																			0.000000	6.583030																			-17.132332	
 2 	 3																																																															3.624075							7.574573																																																									-0.326638	0.000000																			0.000000	6.583030																			-17.455040	
 2 	 4																																																															2.237931							13.176728																																																									0.000000	1.073781																			0.000000	1.042167																			-17.530607	
 2 	 5																																																															2.130503							14.205395																																																									0.000000	1.178065																			0.000000	0.000000																			-17.513964	
 2 	 6																																																															1.601867							13.581016																																																									0.000000	1.561277																			0.000000	0.000000																			-16.744160	
 2 	 7																																																															1.396054							12.697354																																																									0.000000	1.561277																			0.000000	0.000000																			-15.654685	
 2 	 8																																																															2.047196							11.880762																																																									0.000000	0.719943																			0.000000	0.000000																			-14.647902	
 2 	 9																																																															2.616773							11.235162																																																									0.000000	0.000000																			0.000000	0.000000																			-13.851936	
 2 	 10																																																															2.490236							10.691873																																																									0.000000	0.000000																			0.000000	0.000000																			-13.182109	
 2 	 11																																																															2.382950							10.231238																																																									0.000000	0.000000																			0.000000	0.000000																			-12.614188	
 2 	 12																																																															2.307248							9.906211																																																									0.000000	0.000000																			0.000000	0.000000																			-12.213460	
 2 	 13																																																															2.465954							9.844920																																																									-0.172981	0.000000																			0.000000	0.000000																			-12.137893	
 2 	 14																																																															3.910260							10.085397																																																									-1.561277	0.000000																			0.000000	0.000000																			-12.434380	
 2 	 15																																																															4.060858							10.731992																																																									-1.561277	0.000000																			0.000000	0.000000																			-13.231573	
