Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																																																																												0.020223	0.000000	0.060669	0.000000	0.000000	0.121339																																																																																						-0.202231	
 1 	 2																																																																												0.008089	0.000000	0.024268	0.000000	0.000000	0.048535																																																																																						-0.080892	
 1 	 3																																																																												0.004045	0.000000	0.012134	0.000000	0.000000	0.024268																																																																																						-0.040446	
 1 	 4																																																																												0.048536	0.000000	0.145607	0.000000	0.000000	0.291213																																																																																						-0.485355	
 1 	 5																																																																												0.129428	0.000000	0.388284	0.000000	0.000000	0.776568																																																																																						-1.294280	
 1 	 6																																																																												0.323570	0.000000	0.970709	0.000000	0.000000	1.941418																																																																																						-3.235697	
 1 	 7																																																																												0.626916	0.000000	1.880747	0.000000	0.000000	3.761494																																																																																						-6.269157	
 1 	 8																																																																												0.546023	0.000000	1.638068	0.000000	0.000000	3.276135																																																																																						-5.460225	
 1 	 9																																																																												0.505578	0.000000	1.516733	0.000000	0.000000	3.033466																																																																																						-5.055777	
 1 	 10																																																																												0.566248	0.000000	1.698745	0.000000	0.000000	3.397490																																																																																						-5.662484	
 1 	 11																																																																												0.647138	0.000000	1.941414	0.000000	0.000000	3.882829																																																																																						-6.471381	
 1 	 12																																																																												0.711854	0.000000	2.135562	0.000000	0.000000	4.271124																																																																																						-7.118540	
 1 	 13																																																																												0.647138	0.000000	1.941414	0.000000	0.000000	3.882829																																																																																						-6.471381	
 1 	 14																																																																												0.655228	0.000000	1.965685	0.000000	0.000000	3.931371																																																																																						-6.552284	
 1 	 15																																																																												0.736122	0.000000	2.208365	0.000000	0.000000	4.416729																																																																																						-7.361216	
 1 	 16																																																																												0.768479	0.000000	2.305438	0.000000	0.000000	4.610877																																																																																						-7.684795	
 1 	 17																																																																												0.768479	0.000000	2.305438	0.000000	0.000000	4.610877																																																																																						-7.684795	
 1 	 18																																																																												0.566248	0.000000	1.698745	0.000000	0.000000	3.397490																																																																																						-5.662484	
 1 	 19																																																																												0.404462	0.000000	1.213387	0.000000	0.000000	2.426773																																																																																						-4.044622	
 1 	 20																																																																												0.303347	0.000000	0.910040	0.000000	0.000000	1.820080																																																																																						-3.033466	
 1 	 21																																																																												0.202231	0.000000	0.606693	0.000000	0.000000	1.213387																																																																																						-2.022311	
 1 	 22																																																																												0.129428	0.000000	0.388284	0.000000	0.000000	0.776568																																																																																						-1.294280	
 1 	 23																																																																												0.080892	0.000000	0.242677	0.000000	0.000000	0.485355																																																																																						-0.808924	
 1 	 24																																																																												0.032357	0.000000	0.097071	0.000000	0.000000	0.194142																																																																																						-0.323570	
 2 	 1																																																																												0.020223	0.000000	0.060669	0.000000	0.000000	0.121339																																																																																						-0.202231	
 2 	 2																																																																												0.008089	0.000000	0.024268	0.000000	0.000000	0.048535																																																																																						-0.080892	
 2 	 3																																																																												0.004045	0.000000	0.012134	0.000000	0.000000	0.024268																																																																																						-0.040446	
 2 	 4																																																																												0.048536	0.000000	0.145607	0.000000	0.000000	0.291213																																																																																						-0.485355	
 2 	 5																																																																												0.129428	0.000000	0.388284	0.000000	0.000000	0.776568																																																																																						-1.294280	
 2 	 6																																																																												0.323570	0.000000	0.970709	0.000000	0.000000	1.941418																																																																																						-3.235697	
 2 	 7																																																																												0.626916	0.000000	1.880747	0.000000	0.000000	3.761494																																																																																						-6.269157	
 2 	 8																																																																												0.546023	0.000000	1.638068	0.000000	0.000000	3.276135																																																																																						-5.460225	
 2 	 9																																																																												0.505578	0.000000	1.516733	0.000000	0.000000	3.033466																																																																																						-5.055777	
 2 	 10																																																																												0.566248	0.000000	1.698745	0.000000	0.000000	3.397490																																																																																						-5.662484	
 2 	 11																																																																												0.647138	0.000000	1.941414	0.000000	0.000000	3.882829																																																																																						-6.471381	
 2 	 12																																																																												0.711854	0.000000	2.135562	0.000000	0.000000	4.271124																																																																																						-7.118540	
 2 	 13																																																																												0.647138	0.000000	1.941414	0.000000	0.000000	3.882829																																																																																						-6.471381	
 2 	 14																																																																												0.655228	0.000000	1.965685	0.000000	0.000000	3.931371																																																																																						-6.552284	
