Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																				0.110889																	-0.110889	0.000000																																																																																																																																	0.000000	
 1 	 2																				0.108495																	-0.108495	0.000000																																																																																																																																	0.000000	
 1 	 3																				0.112484																	-0.112484	0.000000																																																																																																																																	0.000000	
 1 	 4																				0.122855																	-0.122855	0.000000																																																																																																																																	0.000000	
 1 	 5																				1.484304																	-0.150777	-1.333528																																																																																																																																	0.000000	
 1 	 6																				1.787587																	-0.263261	-1.524326																																																																																																																																	0.000000	
 1 	 7																				2.420247																	-0.702028	-1.718219																																																																																																																																	0.000000	
 1 	 8																				0.747501																	-0.747501	0.000000																																																																																																																																	0.000000	
 1 	 9																				0.530510																	-0.530510	0.000000																																																																																																																																	0.000000	
 1 	 10																				0.485836																	-0.485836	0.000000																																																																																																																																	0.000000	
 1 	 11																				0.486633																	-0.486633	0.000000																																																																																																																																	0.000000	
 1 	 12																				0.283205																	-0.283205	0.000000																																																																																																																																	0.000000	
 1 	 13																				0.234541																	-0.234541	0.000000																																																																																																																																	0.000000	
 1 	 14																				1.515938																	-0.232946	-1.282992																																																																																																																																	0.000000	
 1 	 15																				1.669216																	-0.262463	-1.406753																																																																																																																																	0.000000	
 1 	 16																				1.728229																	-0.346228	-1.382001																																																																																																																																	0.000000	
 1 	 17																				2.332943																	-0.595129	-1.737814																																																																																																																																	0.000000	
 1 	 18																				2.784771																	-0.784995	-1.999776																																																																																																																																	0.000000	
 1 	 19																				2.749626																	-0.799355	-1.950271																																																																																																																																	0.000000	
 1 	 20																				2.470651																	-0.663736	-1.806915																																																																																																																																	0.000000	
 1 	 21																				2.149900																	-0.477060	-1.672840																																																																																																																																	0.000000	
 1 	 22																				1.614234																	-0.362183	-1.252052																																																																																																																																	0.000000	
 1 	 23																				1.541549																	-0.201833	-1.339716																																																																																																																																	0.000000	
 1 	 24																				1.600838																	-0.235339	-1.365499																																																																																																																																	0.000000	
 2 	 1																				2.114353																	-0.418824	-1.695529																																																																																																																																	0.000000	
 2 	 2																				2.053274																	-0.377340	-1.675934																																																																																																																																	0.000000	
 2 	 3																				2.091333																	-0.416431	-1.674902																																																																																																																																	0.000000	
 2 	 4																				2.108593																	-0.424408	-1.684185																																																																																																																																	0.000000	
 2 	 5																				2.264447																	-0.589544	-1.674902																																																																																																																																	0.000000	
 2 	 6																				2.722774																	-0.993211	-1.729564																																																																																																																																	0.000000	
 2 	 7																				3.068974																	-1.219774	-1.849200																																																																																																																																	0.000000	
 2 	 8																				3.150522																	-1.289977	-1.860544																																																																																																																																	0.000000	
 2 	 9																				3.187219																	-1.326674	-1.860544																																																																																																																																	0.000000	
 2 	 10																				3.102771																	-1.262854	-1.839918																																																																																																																																	0.000000	
 2 	 11																				3.111762																	-1.253280	-1.858482																																																																																																																																	0.000000	
 2 	 12																				3.059344																	-1.199830	-1.859513																																																																																																																																	0.000000	
 2 	 13																				2.894760																	-1.163134	-1.731626																																																																																																																																	0.000000	
 2 	 14																				2.812383																	-1.014750	-1.797632																																																																																																																																	0.000000	
 2 	 15																				2.998358																	-1.203819	-1.794538																																																																																																																																	0.000000	
 2 	 16																				2.982636																	-1.187066	-1.795570																																																																																																																																	0.000000	
 2 	 17																				3.136996																	-1.311517	-1.825479																																																																																																																																	0.000000	
 2 	 18																				3.679573																	-1.814903	-1.864670																																																																																																																																	0.000000	
 2 	 19																				3.893434																	-1.996792	-1.896641																																																																																																																																	0.000000	
 2 	 20																				3.849147																	-1.964882	-1.884265																																																																																																																																	0.000000	
 2 	 21																				3.173675																	-1.330663	-1.843012																																																																																																																																	0.000000	
 2 	 22																				2.813752																	-0.932581	-1.881171																																																																																																																																	0.000000	
 2 	 23																				2.461188																	-0.717186	-1.744003																																																																																																																																	0.000000	
 2 	 24																				2.256811																	-0.457116	-1.799695																																																																																																																																	0.000000	
 3 	 1																				1.931708																	-0.415633	-1.516076																																																																																																																																	0.000000	
 3 	 2																				2.023264																	-0.416431	-1.606834																																																																																																																																	0.000000	
 3 	 3																				1.883501																	-0.492218	-1.391283																																																																																																																																	0.000000	
