Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	142479.130000	142479.130000
WET_BIOMASS	42333.200000	42333.200000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	15153.890000	15153.890000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	31963.107682	100000000.000000
RES_WIND	74873.305599	100000000.000000
RES_SOLAR	41339.340903	100000000.000000
RES_HYDRO	16020.533267	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
