Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1	686.400673						2.740889			1641.289146										12.298335		773.585806				129.220790	-6.095907	14.030108											0.000000	0.329224					0.000000	1.564744																			-1.605469	0.000000			-0.554242	0.000000							0.000000	0.000000	
 2	677.125216						2.390196			1639.625595										14.568736		773.878206				128.156010	-5.581173	14.856630											0.000000	0.328108					0.000000	1.564089																			-2.270401	0.000000			-0.292400	0.000000							0.000000	0.000000	
 3	667.696077						2.007705			1637.941772										16.857537		774.783938				127.100005	-5.357683	14.786822											0.000000	0.362796					0.000000	1.584461																			-2.288801	0.000000			-0.905732	0.000000							0.000000	0.000000	
 4	658.310404						1.606851			1636.245416										18.943938		775.666754				126.052701	-5.297007	14.682680											0.000000	0.384310					0.000000	1.597097																			-2.086402	0.000000			-0.882817	0.000000							0.000000	0.000000	
 5	648.683650						1.200482			1634.543984										20.662342		776.507907				125.014027	-5.209027	14.835781											0.000000	0.393129					0.000000	1.602276																			-1.718404	0.000000			-0.841153	0.000000							0.000000	0.000000	
 6	639.253059						0.811804			1632.851078										21.497550		777.249068				123.983911	-5.496227	14.926817											0.000000	0.378786					0.000000	1.593852																			-0.835209	0.000000			-0.741160	0.000000							0.000000	0.000000	
 7	629.691290						0.425745			1631.157932										20.871981		777.222742				122.962284	-6.394230	15.956000											0.000000	0.379370					0.000000	1.594195																			0.000000	0.625570			0.000000	0.026326							0.000000	0.000000	
 8	621.397646						0.073198			1629.482703										20.400869		777.849328				121.949074	-7.662357	15.956000											0.000000	0.349038					0.000000	1.576381																			0.000000	0.471111			-0.626586	0.000000							0.000000	0.000000	
 9	614.648205						0.000000			1627.969930										19.472494		778.496745				120.944214	-9.206559	15.956000											0.000000	0.072595					0.000000	1.414026																			0.000000	0.928375			-0.647417	0.000000							0.000000	0.000000	
 10	608.670359						0.217659			1626.627716										17.517821		779.112914				119.947634	-9.978154	15.956000											-0.217659	0.000000					0.000000	1.243559																			0.000000	1.954673			-0.616169	0.000000							0.000000	0.000000	
 11	603.020164						0.653818			1625.414962										15.031528		779.687421				118.959265	-10.305804	15.956000											-0.437952	0.000000					0.000000	1.114180																			0.000000	2.486294			-0.574507	0.000000							0.000000	0.000000	
 12	597.429632						1.215786			1624.278280										12.701680		780.228596				117.979041	-10.365469	15.956000											-0.567356	0.000000					0.000000	1.038182																			0.000000	2.329848			-0.541175	0.000000							0.000000	0.000000	
 13	591.706732						1.822685			1623.170775										11.979711		780.803103				117.006894	-10.111641	15.834542											-0.616918	0.000000					0.000000	1.009074																			0.000000	0.721969			-0.574507	0.000000							0.000000	0.000000	
