Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000																			9.348632	1.360442	6.095907															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.028256					-0.031350					0.000000	0.000000		-0.216361													-5.170687				0.097376									-6.095907	14.030108																																																			-12.851033	
 1 	 2	0.000000															0.000000																			8.821611	1.300946	5.581173															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.011303					-0.012540					0.000000	0.000000		-0.216361													-5.967743				0.097376									-5.581173	14.856630																																																			-12.329746	
 1 	 3	0.000000															0.000000																			8.576067	1.275648	5.357683															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.005651					-0.006270					0.000000	0.000000		-0.216361													-5.967743				0.097376									-5.357683	14.786822																																																			-12.001018	
 1 	 4	0.000000															0.000000																			8.689856	1.315468	5.297007															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.067815					-0.075241					0.000000	0.000000		-0.216361													-5.967743				0.097376									-5.297007	14.682680																																																			-11.919350	
 1 	 5	0.000000															0.000000																			9.055177	1.298135	5.209027															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.180840					-0.200642					0.000000	0.000000		-0.216361													-5.967743				0.097376									-5.209027	14.835781																																																			-12.182013	
 1 	 6	0.000000															0.000000																			9.845709	1.356225	5.496227															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.452100					-0.501604					0.000000	0.000000		-0.216361													-5.967743				0.097376									-5.496227	14.926817																																																			-12.549449	
 1 	 7	0.000000															0.000000																			10.378718	1.488803	6.394230															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.875943					-0.971857					0.000000	0.000000		-0.216361													-5.958629				0.097376									-6.394230	15.956000																																																			-13.359237	
 1 	 8	0.000000															0.000000																			10.588329	1.583434	7.662357															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.762917					-0.846455					0.000000	0.000000		-0.216361													-5.655656				0.097376									-7.662357	15.956000																																																			-14.204881	
 1 	 9	0.000000															0.000000																			10.690140	1.492551	9.206559															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.706406					-0.783756					0.000000	0.000000		-0.216361													-4.887925				0.097376									-9.206559	15.956000																																																			-15.102747	
 1 	 10	0.000000															0.000000																			11.169250	1.537055	9.978154															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.791177					-0.877809					0.000000	0.000000		-0.216361													-4.065434				0.097376									-9.978154	15.956000																																																			-16.270030	
 1 	 11	0.000000															0.000000																			11.810059	1.629813	10.305804															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.904198					-1.003206					0.000000	0.000000		-0.216361													-3.933530				0.097376									-10.305804	15.956000																																																			-16.897083	
 1 	 12	0.000000															0.000000																			12.965912	1.747399	10.365469															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.994621					-1.103530					0.000000	0.000000		-0.216361													-4.498763				0.097376									-10.365469	15.956000																																																			-17.414542	
 1 	 13	0.000000															0.000000																			14.181653	1.905274	10.111641															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.904198					-1.003206					0.000000	0.000000		-0.216361													-5.967743				0.097376									-10.111641	15.834542																																																			-17.388467	
 1 	 14	0.000000															0.000000																			14.744608	2.020987	10.096472															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-0.915502					-1.015748					0.000000	0.000000		-0.216361													-5.967743				0.097376									-10.096472	15.042939																																																			-17.251685	
 1 	 15	0.000000															0.000000																			15.900460	2.183546	10.097483															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-1.028528					-1.141150					0.000000	0.000000		-0.216361													-5.967743				0.097376									-10.097483	13.905840																																																			-17.194570	
 1 	 16	0.000000															0.000000																			17.074279	2.330646	10.115686															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-1.073740					-1.191312					0.000000	0.000000		-0.216361													-5.967743				0.097376									-10.115686	12.592957																																																			-17.107234	
 1 	 17	0.000000															0.000000																			17.559378	2.400449	10.290635															0.000000	-1.745267										-4.462782											0.000000	-0.330822	-1.073740					-1.191312					0.000000	0.000000		-0.216361													-5.967743				0.097376									-10.290635	12.844805																																																			-17.913983	
