Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1																		10.709074																	-9.348632	-1.360442																																																																																																																																			0.000000	
 1 	 2																		10.122557																	-8.821611	-1.300946																																																																																																																																			0.000000	
 1 	 3																		9.851716																	-8.576067	-1.275648																																																																																																																																			0.000000	
 1 	 4																		10.005324																	-8.689856	-1.315468																																																																																																																																			0.000000	
 1 	 5																		10.353312																	-9.055177	-1.298135																																																																																																																																			0.000000	
 1 	 6																		11.201934																	-9.845709	-1.356225																																																																																																																																			0.000000	
 1 	 7																		11.867521																	-10.378718	-1.488803																																																																																																																																			0.000000	
 1 	 8																		12.171763																	-10.588329	-1.583434																																																																																																																																			0.000000	
 1 	 9																		12.182691																	-10.690140	-1.492551																																																																																																																																			0.000000	
 1 	 10																		12.706305																	-11.169250	-1.537055																																																																																																																																			0.000000	
 1 	 11																		13.439872																	-11.810059	-1.629813																																																																																																																																			0.000000	
 1 	 12																		14.713311																	-12.965912	-1.747399																																																																																																																																			0.000000	
 1 	 13																		16.086928																	-14.181653	-1.905274																																																																																																																																			0.000000	
 1 	 14																		16.765594																	-14.744608	-2.020987																																																																																																																																			0.000000	
 1 	 15																		18.084007																	-15.900460	-2.183546																																																																																																																																			0.000000	
 1 	 16																		19.404926																	-17.074279	-2.330646																																																																																																																																			0.000000	
 1 	 17																		19.959827																	-17.559378	-2.400449																																																																																																																																			0.000000	
 1 	 18																		20.584758																	-18.086399	-2.498359																																																																																																																																			0.000000	
 1 	 19																		21.711654																	-19.098519	-2.613135																																																																																																																																			0.000000	
 1 	 20																		22.774343																	-20.056739	-2.717604																																																																																																																																			0.000000	
 1 	 21																		24.094414																	-21.308413	-2.786001																																																																																																																																			0.000000	
 1 	 22																		25.565601																	-22.793654	-2.771947																																																																																																																																			0.000000	
 1 	 23																		27.115314																	-24.344772	-2.770541																																																																																																																																			0.000000	
 1 	 24																		27.666391																	-24.889760	-2.776631																																																																																																																																			0.000000	
 2 	 1																		26.803963																	-23.087109	-3.716854																																																																																																																																			0.000000	
 2 	 2																		26.970486																	-23.212875	-3.757611																																																																																																																																			0.000000	
 2 	 3																		26.434400																	-22.667888	-3.766512																																																																																																																																			0.000000	
 2 	 4																		25.416051																	-21.691701	-3.724350																																																																																																																																			0.000000	
 2 	 5																		23.884330																	-20.212449	-3.671881																																																																																																																																			0.000000	
 2 	 6																		23.330961																	-19.775262	-3.555700																																																																																																																																			0.000000	
 2 	 7																		22.901662																	-19.397963	-3.503699																																																																																																																																			0.000000	
 2 	 8																		22.408410																	-19.062586	-3.345824																																																																																																																																			0.000000	
 2 	 9																		22.295471																	-19.092530	-3.202941																																																																																																																																			0.000000	
 2 	 10																		21.886924																	-18.900886	-2.986038																																																																																																																																			0.000000	
 2 	 11																		21.957703																	-19.092530	-2.865173																																																																																																																																			0.000000	
 2 	 12																		22.275164																	-19.517740	-2.757424																																																																																																																																			0.000000	
 2 	 13																		22.849224																	-20.338216	-2.511008																																																																																																																																			0.000000	
 2 	 14																		24.767259																	-22.326522	-2.440737																																																																																																																																			0.000000	
 2 	 15																		29.061811																	-26.201323	-2.860488																																																																																																																																			0.000000	
 2 	 16																		33.219923																	-29.944370	-3.275554																																																																																																																																			0.000000	
 2 	 17																		34.156643																	-30.788801	-3.367843																																																																																																																																			0.000000	
 2 	 18																		32.744448																	-29.555093	-3.189355																																																																																																																																			0.000000	
 2 	 19																		30.776857																	-27.782386	-2.994471																																																																																																																																			0.000000	
 2 	 20																		28.857456																	-26.207312	-2.650144																																																																																																																																			0.000000	
 2 	 21																		27.808570																	-25.596447	-2.212123																																																																																																																																			0.000000	
 2 	 22																		28.071879																	-26.093524	-1.978356																																																																																																																																			0.000000	
 2 	 23																		27.889416																	-26.051601	-1.837814																																																																																																																																			0.000000	
 2 	 24																		27.937960																	-26.117479	-1.820481																																																																																																																																			0.000000	
 3 	 1																		10.986887																	-8.821611	-2.165276																																																																																																																																			0.000000	
 3 	 2																		10.303016																	-8.150857	-2.152159																																																																																																																																			0.000000	
 3 	 3																		8.838249																	-6.701550	-2.136699																																																																																																																																			0.000000	
