Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000											1.309659				0.000000		0.000000		1.435499			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.005535					-0.006141					0.000000	0.000000		-0.042882													0.000000				0.000000											0.000000	0.000000																																																	-1.770351	
 1 	 2	0.000000															-0.105824											1.309659				0.000000		0.000000		2.762946			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.002214					-0.002456					0.000000	0.000000		-0.042882													-0.615704				0.000000											-0.565390	0.000000																																																	-1.817886	
 1 	 3	0.000000															0.000000											1.309659				0.000000		0.000000		2.415500			0.000000					0.000000									-0.523470	-0.246626										-0.135902											-0.273606	-0.014251	-0.001107					-0.001228					0.000000	0.000000		-0.042882													-0.746621				0.000000											0.000000	0.000000																																																	-1.739465	
 1 	 4	0.000000															0.000000											1.309659				0.000000		0.000000		2.177134			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.013283					-0.014738					0.000000	0.000000		-0.042882													-0.746621				0.000000											0.000000	0.000000																																																	-1.749019	
 1 	 5	0.000000															0.000000											1.309659				0.000000		0.000000		2.237421			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.035422					-0.039301					0.000000	0.000000		-0.042882													-0.746621				0.000000											0.000000	0.000000																																																	-1.762604	
 1 	 6	0.000000															0.000000											1.309659				0.000000		0.000000		2.327603			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.088556					-0.098252					0.000000	0.000000		-0.042882													0.000000				0.000000											-0.565390	0.000000																																																	-1.921933	
 1 	 7	0.000000															0.000000											1.309659				0.000000		0.000000		3.367506			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.171576					-0.190364					0.000000	0.000000		-0.042882													-0.746621				0.000000											-0.268249	0.000000																																																	-2.337224	
 1 	 8	0.000000															-0.238764											1.309659				0.000000		0.000000		3.508281			0.000000					0.080000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.149437					-0.165800					0.000000	0.000000		-0.042882													-0.746621				0.000000											-0.083938	0.000000																																																	-2.550248	
 1 	 9	0.000000															0.000000											1.309659				0.000000		0.000000		3.566616			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.138368					-0.153519					0.000000	0.000000		-0.042882													-0.746621				0.000000											-0.245294	0.000000																																																	-2.629340	
 1 	 10	0.000000															0.000000											1.309659				0.000000		0.000000		3.558902			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.154973					-0.171942					0.000000	0.000000		-0.042882													-0.746621				0.000000											-0.183307	0.000000																																																	-2.648587	
 1 	 11	0.000000															-0.413699											1.309659				0.000000		0.000000		3.766689			0.000000					0.080000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.177111					-0.196504					0.000000	0.000000		-0.042882													-0.746621				0.000000											0.000000	0.000000																																																	-2.659282	
 1 	 12	0.000000															0.000000											1.309659				0.000000		0.000000		3.316522			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.194823					-0.216155					0.000000	0.000000		-0.042882													-0.746621				0.000000											0.000000	0.000000																																																	-2.505450	
 1 	 13	0.000000															-0.047975											1.309659				0.000000		0.000000		3.890108			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.177111					-0.196504					0.000000	0.000000		-0.042882													-0.746621				0.000000											-0.565390	0.000000																																																	-2.503035	
 1 	 14	0.000000															-0.752436											1.309659				0.123338		0.000000		3.923856			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.179325					-0.198961					0.000000	0.000000		-0.042882													-0.746621				0.000000											0.000000	0.000000																																																	-2.516379	
 1 	 15	0.000000															0.000000											1.309659				0.000000		0.000000		2.431734			0.000000					0.000000									-0.523470	-0.246626										-0.135902											0.000000	-0.014251	-0.201464					-0.223524					0.000000	0.000000		-0.042882													0.000000				0.000000											0.000000	0.000000																																																	-2.353273	
