source,target,realValue,layerID,layerColor,layerUnit
Diesel,Mob public,0.35,Diesel,#D3D3D3,TWh
Diesel,Freight,5.02,Diesel,#D3D3D3,TWh
NG imports,Gas,2.54,Gas,#FFD700,TWh
Gas,H2 prod,1.87,NG,#FFD700,TWh
H2 prod,H2,1.37,H2,#FF00FF,TWh
Electricity,Elec,0.65,Electricity,#00BFFF,TWh
Nuclear,Elec,11.47,Nuclear,#FFC0CB,TWh
Wind,Elec,3.37,Wind,#27AE34,TWh
Hydro River,Elec,3.08,Hydro River,#0000FF,TWh
Solar,Elec,8.55,Solar,#FFFF00,TWh
Geothermal,Elec,0.59,Geothermal,#FF0000,TWh
Waste,Boilers,3.26,Waste,#808000,TWh
Wood,Biofuels,8.07,Wood,#CD853F,TWh
Wood,Boilers,9.49,Wood,#CD853F,TWh
Wet biomass,Biomethanation,0.92,Wood,#CD853F,TWh
Biomethanation,Gas,0.86,NG,#FFD700,TWh
Elec,Mob public,1.99,Electricity,#00BFFF,TWh
Elec,Freight,0.38,Electricity,#00BFFF,TWh
Elec,Exp & Loss,1.79,Electricity,#00BFFF,TWh
Elec,Curt.,1.31,Electricity,#00BFFF,TWh
Elec,Elec demand,13.80,Electricity,#00BFFF,TWh
Elec,Storage,1.16,Electricity,#00BFFF,TWh
Storage,Elec demand,1.00,Electricity,#00BFFF,TWh
Elec,HPs,1.93,Electricity,#00BFFF,TWh
Elec,Electrolysis,3.26,Electricity,#00BFFF,TWh
Electrolysis,H2 sto.,0.69,H2,#FF00FF,TWh
H2 sto.,H2,0.59,H2,#FF00FF,TWh
Electrolysis,H2,2.17,H2,#FF00FF,TWh
Elec,Heat HT,1.54,Electricity,#00BFFF,TWh
H2,Mob priv,3.41,H2,#FF00FF,TWh
H2,Freight,0.65,H2,#FF00FF,TWh
HPs,Heat LT Dec,1.17,Heat LT,#FA8072,TWh
HPs,DHN,5.65,Heat LT,#FA8072,TWh
HPs,Dec. Sto,0.39,Heat LT,#FA8072,TWh
Biofuels,Elec,0.13,Electricity,#00BFFF,TWh
Biofuels,Boilers,0.00,Oil,#8B008B,TWh
Boilers,Heat LT Dec,3.31,Heat LT,#FA8072,TWh
Boilers,Dec. Sto,0.38,Heat LT,#FA8072,TWh
Boilers,DHN,0.19,Heat LT,#FA8072,TWh
Boilers,Heat HT,3.05,Heat HT,#DC143C,TWh
Dec. Sto,Heat LT Dec,0.74,Heat LT,#FA8072,TWh
DHN,Heat LT DHN,3.87,Heat LT,#FA8072,TWh
DHN,Loss DHN,0.41,Heat LT,#FA8072,TWh
DHN,DHN Sto,1.56,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,1.44,Heat LT,#FA8072,TWh
Gas,Non-Energy,1.52,NG,#FFD700,TWh
