Time	DAM_STORAGE	PHS	BATT_LI	CAES	BEV_BATT	PHEV_BATT	TS_DEC_HP_ELEC	TS_DEC_DIRECT_ELEC	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	SEASONAL_NG	SEASONAL_H2	CO2_STORAGE	SLF_STO	PT_STORAGE	ST_STORAGE	TS_MOLTEN_SALT	TS_COLD	DAM_STORAGE_in	DAM_STORAGE_out	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	CAES_in	CAES_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	SEASONAL_NG_in	SEASONAL_NG_out	SEASONAL_H2_in	SEASONAL_H2_out	CO2_STORAGE_in	CO2_STORAGE_out	SLF_STO_in	SLF_STO_out	PT_STORAGE_in	PT_STORAGE_out	ST_STORAGE_in	ST_STORAGE_out	TS_MOLTEN_SALT_in	TS_MOLTEN_SALT_out	TS_COLD_in	TS_COLD_out	
 1	12.194147	1.564088			17.966634		2.713687			1873.412996									867.220489	95.521131		774.474035		61.135117	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.901278	0.032857			0.000000	2.321266					0.000000	3.084761																	-0.614319	0.000000	0.000000	0.311129			0.000000	0.885348			0.000000	0.000000	-0.006731	0.000000	0.000000	0.000000	
 2	12.215352	1.564088			18.858293		0.654823			1870.124216									867.834808	95.210001		773.589482		61.113414	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.908395	0.013143			0.000000	2.036503					0.000000	3.175251																	-0.614319	0.000000	0.000000	0.311129			0.000000	0.884553			0.000000	0.000000	-0.006731	0.000000	0.000000	0.000000	
 3	12.236558	1.564088			19.758717		0.063215			1866.748605									868.411372	94.898872		772.705194		61.091719	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.910768	0.006571			0.000000	0.586212					0.000000	3.262282																	-0.576564	0.000000	0.000000	0.311129			0.000000	0.884288			0.000000	0.000000	-0.006731	0.000000	0.000000	0.000000	
 4	12.257764	1.564088			20.560580		0.000000			1863.331341									868.411372	94.587743		771.817991		61.070031	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.884672	0.078858			0.000000	0.062694					0.000000	3.304139																	0.000000	0.000000	0.000000	0.311129			0.000000	0.887203			0.000000	0.000000	-0.006731	0.000000	0.000000	0.000000	
 5	12.278970	1.564088			21.183407		0.000000			1859.907108									868.411372	94.276614		770.925489		57.065201	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.837226	0.210287			0.000000	0.000000					0.000000	3.311315																	0.000000	0.000000	0.000000	0.311129			0.000000	0.892502			0.000000	3.983150	-0.006731	0.000000	0.000000	0.000000	
 6	12.300176	1.564088			21.270758		0.000000			1856.475532									868.411372	93.965484		770.020268		50.537050	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.617306	0.525718			0.000000	0.000000					0.000000	3.318866																	0.000000	0.000000	0.000000	0.311129			0.000000	0.905221			0.000000	6.507893	-0.006731	0.000000	0.000000	0.000000	
 7	12.321382	1.564088			20.544917		0.000000			1853.061575									865.394846	93.654355		769.095174		50.519109	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.296992	1.018578			0.000000	0.000000					0.000000	3.301454																	0.000000	3.016526	0.000000	0.311129			0.000000	0.925094			0.000000	0.000000	-0.006731	0.000000	0.000000	0.000000	
 8	12.342588	1.564088			20.246541		1.215773			1852.018811									866.009164	93.343226		768.175380		53.819601	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.592880	0.887147			-1.215773	0.000000					0.000000	0.930469																	-0.614319	0.000000	0.000000	0.311129			0.000000	0.919794			-3.318426	0.000000	-0.006731	0.000000	0.000000	0.000000	
 9	12.363794	1.644310			20.037659		2.746693			1853.219788									866.623483	93.343226		767.258235		59.986093	18.960765	0.000000	-0.021206	0.000000	-0.080222	0.000000					-0.616602	0.821435			-1.540938	0.000000					-1.313210	0.000000																	-0.614319	0.000000	0.000000	0.000000			0.000000	0.917145			-6.185598	0.000000	-0.006731	0.000000	0.000000	0.000000	
 10	12.385000	1.644310			19.694659		4.656839			1851.335257									867.237802	93.032097		766.337116		61.242006	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.581017	0.920009			-1.932779	0.000000					0.000000	1.772226																	-0.614319	0.000000	0.000000	0.311129			0.000000	0.921119			-1.277209	0.000000	-0.006731	0.000000	0.000000	0.000000	
 11	12.406205	1.644310			19.172857		0.229954			1848.645686									866.337365	92.720968		765.410698		61.220266	18.960765	0.000000	-0.021206	0.000000	0.000000	0.000000					-0.533572	1.051434			0.000000	4.388512					0.000000	2.577380																	0.000000	0.900436	0.000000	0.311129			0.000000	0.926419			0.000000	0.000000	-0.006731	0.000000	0.000000	0.000000	
