Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	NG	SLF	SNG	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	COAL_US	COAL_IGCC	PV	PT_POWER_BLOCK	ST_POWER_BLOCK	STIRLING_DISH	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	NEW_TIDAL_STREAM	TIDAL_STREAM	TIDAL_RANGE	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WET_BIOMASS	DHN_COGEN_WASTE	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	BIG_SPLIT	CHILLER_WC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	TRUCK_DIESEL	TRUCK_FUEL_CELL	TRUCK_NG	NON_ENERGY_OIL	NON_ENERGY_NG	EFFICIENCY	DHN	GRID	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	H2_NG	H2_BIOMASS	GASIFICATION_SNG	PYROLYSIS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	SYN_METHANATION	BIOMETHANATION	SLF_TO_DIESEL	SLF_TO_GASOLINE	SLF_TO_LFO	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	CAES_Pin	CAES_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	SEASONAL_NG_Pin	SEASONAL_NG_Pout	SEASONAL_H2_Pin	SEASONAL_H2_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	SLF_STO_Pin	SLF_STO_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_MOLTEN_SALT_Pin	TS_MOLTEN_SALT_Pout	TS_COLD_Pin	TS_COLD_Pout	END_USE	
 1 	 1	0.000000															0.000000												2.656180			0.000000		0.188581		2.809370		0.001107	0.362651					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.003594					-0.003988					0.000000	-0.031215		-0.066273													0.000000				0.049734				0.000000					-0.001107	0.000000	0.000000	0.000000					-0.646196	0.031215																																											-3.434715	
 1 	 2	0.000000															0.000000												2.656180			0.000000		0.000000		3.778118		0.000000	0.354261					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.001438					-0.001595					0.000000	-0.012486		-0.066273													0.000000				0.049734				0.000000					0.000000	0.000000	-0.548137	0.000000					-0.956206	0.012486																																											-3.352894	
 1 	 3	0.000000															0.000000												2.656180			0.000000		0.000000		4.075662		0.002214	0.354261					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.000719					-0.000798					0.000000	-0.006243		-0.066273													0.000000				0.049734				0.000000					-0.002214	0.000000	-0.880657	0.000000					-0.958703	0.006243																																											-3.316937	
 1 	 4	0.000000															0.000000												2.656180			0.000000		0.000000		3.830015		0.000000	0.354261					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.008626					-0.009570					0.000000	-0.074915		-0.066273													0.000000				0.049734				0.000000					0.000000	0.000000	-0.655724	0.000000					-0.931234	0.074915																																											-3.307012	
 1 	 5	0.000000															0.000000												2.656180			0.000000		0.000000		3.753899		0.006641	0.354261					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.023002					-0.025521					0.000000	-0.199773		-0.066273													0.000000				0.049734				0.000000					-0.006641	0.000000	-0.514842	0.000000					-0.881291	0.199773																																											-3.391395	
 1 	 6	0.000000															0.000000												2.656180			0.000000		0.000000		3.529011		0.019924	0.356125					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.057505					-0.063802					0.000000	-0.499432		-0.066273													0.000000				0.049734				0.000000					-0.019924	0.000000	-0.141269	0.000000					-0.761427	0.499432																																											-3.589024	
 1 	 7	0.000000															0.000000												2.656180			0.000000		0.000000		3.573989		0.037634	0.353329					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.111416					-0.123616					0.000000	-0.967649		-0.066273													0.000000				0.049734				0.000000					-0.037634	0.000000	0.000000	0.000000					-0.362735	0.967649																																											-4.057441	
 1 	 8	0.000000															0.000000												2.656180			0.627805		0.000000		3.494413		0.111796	0.374771					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.097040					-0.107666					0.000000	-0.842790		-0.066273													0.000000				0.049734				0.000000					-0.111796	0.000000	-0.120092	0.000000					-0.624084	0.842790																																											-4.275998	
 1 	 9	0.000000															0.000000												0.390930			7.533663		0.000000		3.093074		0.107368	0.395280					0.300000									0.000000	-0.208186										-2.186939											0.000000	-0.024812	-0.089852					-0.099691					0.000000	-0.780363		-0.066273													-0.358723				0.049734				0.000000					-0.107368	0.000000	-3.440367	0.000000					-0.649055	0.780363																																											-4.638786	
 1 	 10	0.000000															0.000000												2.656180			4.080734		0.000000		2.677897		0.109582	0.404603					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.100634					-0.111654					0.000000	-0.874009		-0.066273													0.000000				0.049734				0.000000					-0.109582	0.000000	-2.445963	0.000000					-0.611596	0.874009																																											-4.621276	
 1 	 11	0.000000															0.000000												2.656180			1.569513		0.000000		1.930577		0.002214	0.430707					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.115010					-0.127604					0.000000	-0.998863		-0.066273													0.000000				0.049734				0.000000					-0.002214	0.223607	0.000000	0.000000					-0.222783	0.998863																																											-4.416897	
 1 	 12	0.000000															0.000000												2.656180			2.511221		0.000000		1.273212		0.000000	0.433503					0.300000									0.000000	0.000000										-2.186939											0.000000	-0.024812	-0.126512					-0.140364					0.000000	-1.098752		-0.066273													0.000000				0.049734				0.000000					0.000000	0.296285	0.000000	0.000000					-0.521699	1.098752																																											-4.453537	
